order_id,restaurant_type,order_size,distance_km,traffic_level,weather,prep_time_min,delivery_time_min
1,Cafe,2,6.15,Medium,Snowy,27,79.1
2,Street Food,6,0.51,Medium,Rainy,6,37.7
3,Fine Dining,7,7.27,Low,Rainy,16,76.2
4,Street Food,4,7.56,Low,Rainy,25,74.4
5,Street Food,5,13.02,Medium,Clear,16,73.8
6,Casual Dining,4,7.0,Medium,Clear,35,84.8
7,Fine Dining,7,5.77,Low,Rainy,13,58.3
8,Fine Dining,4,14.92,Medium,Clear,19,85.0
9,Fine Dining,5,8.78,High,Clear,36,103.7
10,Street Food,4,7.35,Low,Rainy,13,55.6
11,Cafe,5,7.69,High,Clear,28,80.0
12,Fine Dining,7,12.23,Low,Stormy,12,85.5
13,Street Food,5,5.44,Medium,Rainy,32,58.7
14,Casual Dining,6,6.14,Medium,Rainy,22,73.4
15,Cafe,6,11.46,Low,Clear,36,83.0
16,Casual Dining,5,1.56,High,Rainy,25,72.5
17,Cafe,2,13.04,Medium,Clear,33,91.9
18,Street Food,3,6.74,Low,Clear,22,61.5
19,Fast Food,2,8.93,Medium,Stormy,27,95.6
20,Cafe,5,11.48,Medium,Clear,37,101.3
21,Casual Dining,3,4.36,High,Rainy,13,69.2
22,Street Food,6,13.41,Medium,Rainy,8,78.0
23,Cafe,3,14.7,Low,Snowy,20,100.5
24,Fast Food,5,7.67,Low,Clear,7,46.5
25,Fast Food,6,14.09,Medium,Clear,12,87.6
26,Fine Dining,3,0.52,Medium,Stormy,20,53.0
27,Fine Dining,3,13.47,High,Rainy,6,76.4
28,Casual Dining,2,5.01,Medium,Rainy,23,69.0
29,Cafe,3,5.02,High,Rainy,28,75.4
30,Cafe,7,3.81,High,Clear,20,61.9
31,Fine Dining,5,5.1,Medium,Clear,6,43.7
32,Cafe,1,3.6,Low,Clear,36,55.9
33,Cafe,1,13.64,Low,Rainy,5,57.5
34,Fast Food,1,13.54,Low,Clear,22,81.2
35,Fine Dining,5,1.98,Medium,Rainy,36,71.9
36,Street Food,1,2.57,Low,Clear,13,39.6
37,Fine Dining,2,13.0,Low,Clear,7,68.6
38,Street Food,5,6.28,Low,Clear,28,71.6
39,Fast Food,7,2.95,Low,Rainy,15,45.0
40,Casual Dining,6,7.9,Low,Stormy,32,76.3
41,Cafe,7,6.54,Low,Rainy,20,74.0
42,Fast Food,5,3.68,Medium,Clear,33,66.7
43,Cafe,5,10.95,Low,Clear,16,80.1
44,Casual Dining,3,9.65,High,Rainy,8,75.6
45,Casual Dining,3,1.95,Low,Clear,30,47.0
46,Fast Food,3,13.92,High,Clear,8,78.2
47,Casual Dining,4,8.6,Medium,Clear,15,50.8
48,Street Food,2,4.13,Medium,Clear,6,36.5
49,Casual Dining,5,3.49,Medium,Clear,35,70.0
50,Cafe,7,2.47,Low,Clear,7,26.0
51,Cafe,5,6.66,Low,Clear,29,68.7
52,Cafe,3,2.47,Medium,Clear,38,68.1
53,Cafe,5,6.53,High,Rainy,5,67.9
54,Street Food,6,2.66,High,Clear,9,49.0
55,Fine Dining,5,10.02,Medium,Clear,35,92.4
56,Fast Food,7,11.89,Medium,Rainy,7,71.1
57,Cafe,1,8.47,Medium,Snowy,16,76.4
58,Casual Dining,6,10.36,Medium,Clear,20,84.8
59,Cafe,6,14.11,High,Clear,12,97.1
60,Casual Dining,5,9.76,Low,Clear,15,72.1
61,Casual Dining,4,5.78,High,Rainy,18,68.8
62,Cafe,3,7.02,Low,Snowy,31,82.2
63,Street Food,2,12.98,Medium,Clear,22,85.0
64,Casual Dining,2,2.4,High,Rainy,12,55.0
65,Casual Dining,1,5.22,High,Clear,37,82.9
66,Cafe,2,8.87,Medium,Clear,8,48.6
67,Casual Dining,2,10.31,Low,Stormy,34,87.0
68,Casual Dining,3,11.57,Low,Clear,24,72.3
69,Cafe,3,5.11,Low,Clear,34,68.4
70,Cafe,4,2.61,Medium,Snowy,31,76.8
71,Fast Food,7,14.35,Medium,Clear,29,106.6
72,Street Food,1,1.61,Medium,Clear,10,31.4
73,Street Food,2,1.89,Medium,Clear,9,40.3
74,Casual Dining,4,7.68,Medium,Clear,18,56.5
75,Street Food,1,12.38,Medium,Clear,18,66.5
76,Casual Dining,6,11.73,High,Clear,38,105.6
77,Fast Food,2,14.1,Low,Rainy,29,98.2
78,Cafe,2,2.55,High,Stormy,22,76.1
79,Cafe,3,5.95,Low,Clear,24,55.1
80,Cafe,5,4.59,Medium,Clear,12,51.8
81,Street Food,1,12.98,High,Rainy,30,94.2
82,Fast Food,2,7.58,Low,Clear,25,65.8
83,Street Food,1,0.89,Low,Clear,31,46.7
84,Street Food,7,10.77,Low,Rainy,36,95.6
85,Fast Food,4,6.14,Low,Rainy,21,57.0
86,Fast Food,4,8.2,Medium,Clear,5,58.2
87,Fast Food,5,13.46,Low,Clear,31,92.1
88,Fast Food,2,4.22,Low,Clear,15,34.2
89,Cafe,7,3.98,Medium,Clear,39,85.5
90,Fine Dining,3,4.32,Medium,Clear,14,47.2
91,Fine Dining,2,5.4,Medium,Clear,5,34.2
92,Fast Food,1,2.06,Medium,Rainy,26,60.9
93,Fine Dining,6,10.61,Medium,Stormy,21,90.3
94,Fine Dining,4,3.51,Low,Snowy,16,66.9
95,Fast Food,1,13.93,Medium,Rainy,17,74.4
96,Fine Dining,5,3.63,High,Clear,29,70.1
97,Street Food,4,4.21,Low,Clear,30,61.5
98,Casual Dining,3,4.81,Medium,Clear,37,75.9
99,Casual Dining,4,11.64,High,Clear,12,86.3
100,Fast Food,6,6.7,High,Snowy,17,98.5
101,Cafe,7,12.38,Medium,Clear,30,90.8
102,Fast Food,2,11.88,Medium,Rainy,21,89.0
103,Cafe,6,13.98,Medium,Snowy,28,112.2
104,Casual Dining,7,11.47,Medium,Rainy,28,97.5
105,Fast Food,6,1.25,Medium,Rainy,16,45.7
106,Street Food,2,12.64,Low,Clear,35,88.3
107,Fine Dining,4,14.1,Low,Clear,20,82.9
108,Cafe,5,14.91,Low,Clear,20,75.0
109,Fine Dining,2,2.32,Low,Rainy,34,59.8
110,Fine Dining,2,9.39,Medium,Clear,32,85.0
111,Fast Food,7,3.39,High,Clear,7,55.9
112,Fine Dining,3,4.31,High,Clear,37,76.6
113,Street Food,4,11.31,Medium,Clear,28,81.5
114,Fine Dining,2,14.68,High,Clear,34,109.0
115,Fast Food,5,9.13,High,Snowy,32,127.2
116,Street Food,1,12.83,High,Clear,6,63.2
117,Casual Dining,4,0.63,Low,Clear,17,34.4
118,Fine Dining,3,1.03,Medium,Clear,14,37.4
119,Fast Food,6,9.15,Medium,Clear,17,80.2
120,Casual Dining,2,6.14,Low,Clear,23,58.5
121,Casual Dining,5,13.4,High,Rainy,10,82.9
122,Cafe,4,4.88,Low,Rainy,22,65.1
123,Street Food,5,6.76,Low,Clear,13,55.7
124,Fine Dining,5,8.15,Low,Rainy,21,77.2
125,Fast Food,7,4.46,Medium,Stormy,8,66.5
126,Cafe,6,13.67,Medium,Clear,10,83.1
127,Street Food,3,7.24,Medium,Clear,15,62.2
128,Cafe,4,6.65,Low,Clear,30,64.4
129,Street Food,2,12.82,Medium,Clear,15,70.0
130,Street Food,3,5.02,Medium,Clear,12,52.2
131,Fine Dining,2,12.35,Medium,Clear,7,72.9
132,Street Food,1,2.27,Low,Stormy,6,36.6
133,Cafe,5,3.15,Low,Clear,22,50.8
134,Street Food,1,14.29,Low,Snowy,6,94.3
135,Fine Dining,7,12.72,Medium,Clear,30,94.2
136,Fine Dining,5,6.12,Low,Clear,16,53.4
137,Cafe,6,9.76,Low,Clear,30,83.0
138,Casual Dining,3,14.17,Low,Stormy,20,87.5
139,Casual Dining,2,3.57,Medium,Clear,18,39.7
140,Street Food,7,1.36,Medium,Rainy,6,49.1
141,Fast Food,6,8.29,Medium,Clear,25,82.7
142,Street Food,2,2.57,Medium,Clear,11,43.7
143,Cafe,3,3.22,Low,Rainy,15,53.2
144,Cafe,4,13.43,Low,Rainy,33,86.5
145,Cafe,7,0.61,Low,Clear,32,58.7
146,Cafe,1,12.34,Low,Clear,8,55.2
147,Cafe,1,8.0,High,Clear,8,63.0
148,Fine Dining,2,8.61,Medium,Clear,31,77.1
149,Casual Dining,2,10.24,Medium,Rainy,10,64.8
150,Cafe,2,6.76,Low,Clear,38,67.4
